NUTS2:;Administrative Division ;Administrative Division [ENG];Country;Class;Inwoners;Pop density;Cases 1st April;Cases 30th April;New cases;Cases per 100.000 inh 1st April;Cases per 100.000  inh 30th April;Rise per capita in April;Deaths 1st April;Deaths 30th April;Tot. Death count in April;Deaths per 100.000 inh 1st April;Deaths per 100.000 inh 30th April;Rise per capita in April;Deaths/cases 1st April*;Deaths/cases 30th April*;Difference
BE34;Luxembourg;Luxembourg;Belgium;4;284638;64;272;1.253;981;95,6;440,2;344,6;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
DK04;Midtjylland;Central Denmark;Denmark;4;1326340;103;485;1.423;938;36,6;107,3;70,7;n/a;58;n/a;n/a;4,4;n/a;n/a;4,1;n/a
NO053;Møre og Romsdal;Møre og Romsdal;Norway;4;243925;;95;123;28;38,9;50,4;11,5;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
IE05;Munster;Munster;Ireland;4;1280394;55;307;2.757;2.450;24,0;215,3;191,3;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
BE35;Namur;Namur;Belgium;4;493073;135;350;1.825;1.475;71,0;370,1;299,1;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
DK05;Nordjylland;North Denmark;Denmark;4;589936;76;170;381;211;28,8;64,6;35,8;n/a;20;n/a;n/a;3,4;n/a;n/a;5,2;n/a
NO071;Nordland;Nordland;Norway;4;243335;;68;114;46;27,9;46,8;18,9;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
BE23;Oost-Vlaanderen;East Flanders;Belgium;4;1515064;509;1.593;5.577;3.984;105,1;368,1;263,0;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
NO011;Oslo;Oslo;Norway;4;673469;256;1.379;2.364;985;204,8;351,0;146,3;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
NO0A1;Rogaland;Rogaland;Norway;4;473526;32;332;431;99;70,1;91,0;20,9;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
DK02;Sjælland;Sealand;Denmark;4;835024;118;425;1.394;969;50,9;166,9;116,0;n/a;78;n/a;n/a;9,3;n/a;n/a;5,6;n/a
DK03;Syddanmark;Southern Denmark;Denmark;4;1223105;102;405;874;469;33,1;71,5;38,3;n/a;26;n/a;n/a;2,1;n/a;n/a;3,0;n/a
